trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.35027164280012,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.8460849033197,"{0: 7, 1: 7, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.925019339286127,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.0379030923442,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.85976572133328,"{0: 11, 1: 7, 2: 0, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.85245708510686,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,8,-107.38471460254358,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.172949582307176,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.6817055868844,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.009370790035,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.4902160508534,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-232.22298938957326,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.57966100660644,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.1602055738004,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.39787233933357,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.28362187022623,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.87113905517133,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.55047171651543,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.032008933998,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,14,-45.31040931146941,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,8,-54.73135810141226,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.58770409566566,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.04613276020154,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.08183026218867,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.69356424335511,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.21240875372594,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.37058820517055,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,11,-22.219654636820614,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,7,-26.857624549122058,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-166.77906233718582,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
